尺	993
拜	989
英	985
恐	985
翁	985
茫	982
乃	978
钱	977
危	973
宗	972
鴈	968
广	965
乌	965
走	965
苑	962
调	959
把	958
轮	957
卿	957
投	956
唐	955
各	953
放	952
席	951
旌	951
遂	951
攀	951
篇	951
童	949
繁	946
纵	944
消	942
哀	937
雷	936
烛	936
点	935
没	934
源	933
竟	932
荷	931
赤	931
况	930
斗	930
泽	929
屋	929
闭	928
绕	927
降	926
计	917
势	914
抱	913
杜	913
桑	911
哭	911
奇	911
津	905
寥	905
毛	905
省	904
甘	903
负	901
集	901
嗟	900
历	899
湿	897
涯	894
裴	890
存	888
凌	886
昨	886
销	881
凭	879
禁	879
昼	876
遣	874
潭	873
霄	873
凄	872
达	871
禽	871
盖	869
短	869
鸾	866
枯	864
灭	860
苏	860
宾	860
宵	856
浅	856
喧	854
催	853
严	853
漏	853
肯	848
圆	846
艳	846
粉	845
招	840
惆	840
菊	836
瑶	835
潮	833
绣	833
昭	832
郭	832
戏	832
实	829
盈	828
烧	828
净	828
筵	824
塘	824
漫	824
弄	820
兄	819
程	818
或	818
茅	815
淮	813
猨	813
利	812
寿	808
？	808
披	807
涧	807
俱	807
驿	804
庐	803
驱	800
挂	799
诚	798
避	797
境	796
戎	794
绮	793
笼	793
幕	792
底	792
驾	791
除	789
陪	789
斯	788
勤	788
义	784
妾	783
升	782
渚	780
衔	779
潜	779
郑	776
父	776
巢	774
强	773
响	771
背	769
滴	768
丛	768
陌	766
佛	766
琼	765
荡	764
嘉	764
体	761
壮	758
巴	758
曹	757
陶	756
养	756
差	755
诏	754
员	752
○	751
借	749
旋	749
进	747
辉	745
唱	745
疾	744
澄	742
试	741
怪	739
受	738
密	736
遶	736
就	735
殷	735
幷	735
峡	734
陆	733
穿	732
辛	730
宣	730
呈	728
羡	727
屏	727
劝	727
丈	726
迢	726
丞	725
厌	724
氏	723
追	721
读	721
阶	718
帐	716
服	715
序	715
属	714
己	714
襟	713
雕	710
杀	710
商	710
桐	709
奏	708
壶	708
了	708
市	707
慙	706
仰	706
射	705
弹	705
墙	705
威	704
偈	703
尝	702
候	702
妇	701
记	700
刀	700
耳	699
牵	699
祖	698
卢	697
耕	696
际	693
逸	693
妙	693
雀	692
夷	691
袖	690
哉	689
颂	686
呼	685
策	685
系	684
聊	683
浩	683
济	682
延	682
母	682
妆	681
添	681
萝	678
拥	675
洒	674
鬼	671
坛	669
弃	669
恋	667
覆	667
善	667
甲	667
腰	667
鹿	662
布	661
话	661
陇	659
鸳	658
黑	658
彼	656
畔	656
杳	655
泣	649
迁	648
岛	647
漠	647
谓	645
止	644
炉	644
泊	643
停	642
富	642
鲁	642
号	642
血	641
儒	639
适	639
韦	639
致	636
表	635
曙	634
翼	634
倒	632
仪	632
洗	632
嫌	632
徐	630
果	629
杖	629
伏	629
叠	629
赐	628
饥	627
寞	625
推	622
丽	620
瑞	619
福	618
恶	617
改	616
歇	614
郁	613
肃	613
虫	612
巾	611
驰	611
左	610
冲	609
裳	607
阑	606
猿	606
伊	606
宇	605
造	603
侣	602
奈	602
扫	602
茶	602
衡	601
扇	600
限	600
鼎	596
汝	596
切	595
退	595
建	594
层	594
顶	594
驻	594
扶	594
鞭	591
樵	591
羞	590
座	590
庆	589
荐	589
仁	588
睡	588
固	587
亡	587
杏	587
笙	586
浓	585
政	584
鳞	584
示	583
辰	583
印	583
蝶	583
律	580
霁	579
涛	579
伯	577
邑	577
酌	576
界	574
昌	574
埃	574
醒	574
娇	573
蒲	572
抛	572
熟	571
甚	571
铜	570
写	570
委	570
谒	570
总	569
姓	569
窥	567
烦	564
忍	564
右	563
惠	563
部	563
个	561
簪	558
免	558
渭	556
益	556
场	555
简	555
巫	554
联	553
贺	553
趋	550
尧	549
符	549
壑	549
赵	547
阔	546
累	546
则	546
展	545
腾	545
零	544
芙	544
戍	543
险	542
暑	542
买	542
翰	541
遍	541
请	540
扉	540
宋	540
奔	539
簷	538
崖	536
脱	536
乍	535
贞	535
校	534
勿	532
民	532
柱	530
丰	529
环	529
索	528
舒	527
贱	526
澹	526
鲜	526
荅	525
佩	524
阻	524
妻	523
促	522
韩	522
振	522
履	521
笛	521
魏	520
纤	518
槛	518
寸	518
悟	517
摧	517
并	517
柏	514
钩	514
支	512
蓉	512
末	511
畏	511
网	510
踪	510
运	509
位	509
凡	509
咸	508
吐	508
戈	508
咽	508
籍	507
晖	507
托	506
旷	505
炎	505
鹭	504
羊	504
屈	504
润	503
虏	502
返	502
霑	501
味	499
崇	498
瑟	498
聚	498
愚	498
雅	498
镇	496
贾	495
鬬	492
祗	492
施	492
辈	491
